Disease,Symptoms,Causes,Prevention,Treatment
Diabetes,"Frequent urination, Increased thirst, Fatigue, Blurred vision","Insulin resistance or low insulin production","Healthy diet, Exercise, Weight management","Lifestyle changes, Medication, Insulin therapy"
Hypertension,"Often no symptoms, Headache, Dizziness","High salt intake, Obesity, Genetics","Reduce salt, Exercise, Healthy weight","Lifestyle changes, Blood pressure medication"
Asthma,"Shortness of breath, Wheezing, Cough","Allergies, Air pollution, Genetics","Avoid triggers, Vaccination","Inhalers, Controller medication"
Dengue,"High fever, Rash, Joint pain, Headache","Dengue virus spread by Aedes mosquitoes","Mosquito control, Repellent","Hydration, Medical monitoring"
Malaria,"Fever, Chills, Sweating","Plasmodium parasite spread by mosquitoes","Mosquito nets, Repellent","Antimalarial medication"
Pneumonia,"Chest pain, Fever, Cough, Difficulty breathing","Bacteria, Viruses, Fungi","Vaccination, Hand hygiene","Antibiotics or antiviral treatment depending on the cause"
Typhoid,"Fever, Weakness, Stomach pain","Salmonella Typhi infection","Safe food and clean water","Antibiotics and supportive care"
Tuberculosis,"Persistent cough, Weight loss, Night sweats","Mycobacterium tuberculosis","Early detection, Ventilation","Combination antibiotic therapy"
Migraine,"Severe headache, Nausea, Light sensitivity","Genetics, Triggers","Avoid known triggers, Good sleep","Pain relief and preventive medicines"
Anemia,"Fatigue, Pale skin, Weakness","Iron deficiency, Blood loss","Iron-rich diet","Iron supplements or treatment of the underlying cause"
