Disease,Symptoms,Causes,Prevention,Treatment
Diabetes,"Frequent urination, thirst, fatigue, blurred vision","Insulin resistance or insufficient insulin","Exercise, healthy diet, weight management","Lifestyle changes and medical treatment"
Hypertension,"Headache, dizziness, often no symptoms","High salt intake, obesity, genetics","Reduce salt, exercise, maintain healthy weight","Blood pressure management"
Asthma,"Cough, wheezing, breathing difficulty","Allergies, pollution, genetics","Avoid triggers, maintain healthy environment","Inhalers and medical supervision"
Dengue,"High fever, rash, joint pain, headache","Dengue virus transmitted by mosquitoes","Avoid mosquito bites, remove stagnant water","Hydration and medical monitoring"
Malaria,"Fever, chills, sweating","Parasite transmitted by mosquitoes","Mosquito protection","Antimalarial treatment"
COVID-19,"Fever, cough, tiredness, breathing difficulty","Coronavirus infection","Vaccination, hygiene, isolation when needed","Supportive medical care"
Pneumonia,"Cough, fever, chest pain","Bacteria, viruses or fungi","Vaccination and hygiene","Medical treatment depending on cause"
Typhoid,"Fever, weakness, stomach pain","Salmonella bacteria","Safe food and clean water","Antibiotics prescribed by doctor"
Migraine,"Severe headache, nausea, sensitivity to light","Genetics and triggers","Sleep routine, avoid triggers","Pain management"
Anemia,"Fatigue, weakness, pale skin","Iron deficiency or blood loss","Iron-rich diet","Iron supplements and medical treatment"
